"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,269780,"Cedmont","MD","Baltimore","Baltimore City","Baltimore",3736,157900,-0.00754242614707731,-0.00878844946641557,0.0422442244224422,0.032446161646964,-0.0101731459776244,"2007-06","2007-Q2",175000,-0.0977142857142857,"2006-06"
2017-05-31,269888,"Perring Loch","MD","Baltimore","Baltimore City","Baltimore",3737,149500,-0.0112433862433862,0.00673400673400673,0.0833333333333333,0.031863065903434,-0.00713645457329581,"2007-09","2007-Q3",163100,-0.0833844267320662,"2006-12"
2017-05-31,271597,"Sunshine Estates","TX","San Antonio","Bexar","San Antonio",3738,153700,0.0246666666666667,0.0477164280845262,0.11863173216885,0.0621422401451077,0.0194254261208737,"2017-05","2017-Q2",153700,0,"2017-05"
2017-05-31,403309,"West De Paul","IL","Chicago","Cook","Chicago",3739,605600,0.0063143901628448,0.0205594876980115,0.0783475783475783,0.0633766770990385,0.00483205092708339,"2017-05","2017-Q2",605600,0,"2017-05"
2017-05-31,270035,"Morningside","TX","Dallas-Fort Worth","Tarrant","Fort Worth",3740,67500,-0.0014792899408284,-0.0102639296187683,0.0135135135135135,0.0692304749452299,,"2016-09","2016-Q3",70000,-0.0357142857142857,"2016-06"
2017-05-31,269198,"Southwood","FL","Jacksonville","Duval","Jacksonville",3741,186500,0.00974553329723877,0.0315265486725664,0.122817579771222,0.0855799843244014,-0.00159450596628785,"2006-10","2006-Q4",196900,-0.0528186896901981,"2006-02"
2017-05-31,55955,"Guilford Center","CT","New Haven","New Haven","Guilford",3742,370000,-0.00537634408602151,0.0164835164835165,0.0629129560471129,0.0222799522273736,-0.00329099033465086,"2007-11","2007-Q4",399300,-0.0733784122213874,"2005-05"
2017-05-31,271063,"Arnold Creek","OR","Portland","Multnomah","Portland",3743,598000,0.00622581187952213,0.014246947082768,0.0778658976207642,0.0916673187501294,0.0214391736686244,"2017-05","2017-Q2",598000,0,"2017-05"
2017-05-31,274417,"Maplewood","OR","Portland","Multnomah","Portland",3744,492000,0.00346726493983276,0.0125540234616176,0.0822701275846898,0.110363836382094,0.0357711351083176,"2017-05","2017-Q2",492000,0,"2017-05"
2017-05-31,343962,"Arlington Park","FL","North Port-Sarasota-Bradenton","Sarasota","Sarasota",3745,232600,-0.00428082191780822,-0.0148242270224481,0.0572727272727273,0.143053850602244,0.00274964209500617,"2006-05","2006-Q2",275600,-0.156023222060958,"2005-06"
2017-05-31,417080,"Villages of Brimhall - Brimhall Classics","CA","Bakersfield","Kern","Bakersfield",3746,279100,0.00504141159524667,0.0149090909090909,0.043754674644727,0.0758974958695853,-0.024206659703254,"2006-06","2006-Q2",376600,-0.258895379713224,"2004-12"
