Neighborhood,Zipcode,Population,PopulationDensity,MedianHouseHoldIncome,MedianRent,Zhvi,MedianSchoolRating,WalkScore,TransitScore,BikeScore
South Delridge,98106,3927,6098,73400,1385,400400,0,68,53,51
South Lake Union,"98109,98102",8383,12321,94299,1684,0,0,92,86,72
South Park,"98108,98106",4793,3927,45643,808,375100,2,59,37,62
Southeast Magnolia,98199,6068,9203,128447,1375,0,0,65,42,53
Stevens,"98112,98122",13715,14760,119591,1536,0,0,0,0,0
Sunset Hill,"98117,98107",7848,7634,105756,1440,818000,0,54,40,70
University District,"98105,98195",27188,13957,47398,1250,748300,0,91,71,85
Victory Heights,98125,6997,9023,73785,1034,585300,0,67,52,59
View Ridge,98115,8365,9407,137333,1659,911200,10,42,41,60
Wallingford,"98103,98105",21033,13963,95545,1527,820700,10,83,59,81
Wedgwood,98115,9613,8965,124271,1530,758900,10,70,43,70
West Queen Anne,98119,6397,9996,132814,1423,900600,0,82,58,50
West Seattle,"98116,98126,98136,98146",58665,7036,98975,1328,0,7,0,0,0
West Woodland,98107,8805,10491,101359,1464,716400,0,0,0,0
Westlake,98109,2065,13806,98147,1767,583400,0,75,71,61
Whittier Heights,98117,9706,19111,94785,1545,751400,0,80,49,71
Windermere,"98115,98105",5904,5884,149381,1351,1352000,7,46,42,60
Woodland Park,98103,2025,2350,102098,1631,0,0,0,0,0
Yesler Terrace,"98122,98104",4113,20237,37680,879,0,0,94,98,72
