Park,Year,Recreation Visitors,Tent Campers,RV Campers,Backcountry Campers,
Abraham Lincoln Birthplace NHP,1934,"175,000",,,,
Abraham Lincoln Birthplace NHP,1935,"89,355",,,,
Abraham Lincoln Birthplace NHP,1936,"149,665",,,,
Abraham Lincoln Birthplace NHP,1937,"111,840",,,,
Abraham Lincoln Birthplace NHP,1938,"121,144",,,,
Abraham Lincoln Birthplace NHP,1939,"112,626",,,,
Abraham Lincoln Birthplace NHP,1940,"136,945",,,,
Abraham Lincoln Birthplace NHP,1941,"110,830",,,,
Abraham Lincoln Birthplace NHP,1942,"59,210",,,,
Abraham Lincoln Birthplace NHP,1943,"13,520",,,,
Abraham Lincoln Birthplace NHP,1944,"13,060",,,,
Abraham Lincoln Birthplace NHP,1945,"23,271",,,,
Abraham Lincoln Birthplace NHP,1946,"51,056",,,,
Abraham Lincoln Birthplace NHP,1947,"60,323",,,,
Abraham Lincoln Birthplace NHP,1948,"75,150",,,,
Abraham Lincoln Birthplace NHP,1949,"89,793",,,,
Abraham Lincoln Birthplace NHP,1950,"136,487",,,,
Abraham Lincoln Birthplace NHP,1951,"169,999",,,,
Abraham Lincoln Birthplace NHP,1952,"239,371",,,,
Abraham Lincoln Birthplace NHP,1953,"260,764",,,,
Abraham Lincoln Birthplace NHP,1954,"284,500",,,,
Abraham Lincoln Birthplace NHP,1955,"235,000",,,,
Abraham Lincoln Birthplace NHP,1956,"287,800",,,,
Abraham Lincoln Birthplace NHP,1957,"287,500",,,,
Abraham Lincoln Birthplace NHP,1958,"186,900",,,,
Abraham Lincoln Birthplace NHP,1959,"353,700",,,,
Abraham Lincoln Birthplace NHP,1960,"331,300",,,,
Abraham Lincoln Birthplace NHP,1961,"297,500",,,,
Abraham Lincoln Birthplace NHP,1962,"315,800",,,,
Abraham Lincoln Birthplace NHP,1963,"293,400",,,,
Abraham Lincoln Birthplace NHP,1964,"284,600",,,,
Abraham Lincoln Birthplace NHP,1965,"371,600",,,,
Abraham Lincoln Birthplace NHP,1966,"397,200",,,,
Abraham Lincoln Birthplace NHP,1967,"403,700",,,,
Abraham Lincoln Birthplace NHP,1968,"397,000",,,,
Abraham Lincoln Birthplace NHP,1969,"555,300",,,,
Abraham Lincoln Birthplace NHP,1970,"486,600",,,,
Abraham Lincoln Birthplace NHP,1971,"489,300",,,,
Abraham Lincoln Birthplace NHP,1972,"557,439",,,,
Abraham Lincoln Birthplace NHP,1973,"522,800",,,,
Abraham Lincoln Birthplace NHP,1974,"413,900",,,,
Abraham Lincoln Birthplace NHP,1975,"406,500",,,,
Abraham Lincoln Birthplace NHP,1976,"351,800",,,,
Abraham Lincoln Birthplace NHP,1977,"396,600",,,,
Abraham Lincoln Birthplace NHP,1978,"355,687",,,,
Abraham Lincoln Birthplace NHP,1979,"271,231",0,0,0,
Abraham Lincoln Birthplace NHP,1980,"239,074",0,0,0,
Abraham Lincoln Birthplace NHP,1981,"252,245",0,0,0,
Abraham Lincoln Birthplace NHP,1982,"318,707",0,0,0,
Abraham Lincoln Birthplace NHP,1983,"256,126",0,0,0,
Abraham Lincoln Birthplace NHP,1984,"258,023",0,0,0,
Abraham Lincoln Birthplace NHP,1985,"264,905",0,0,0,
Abraham Lincoln Birthplace NHP,1986,"280,620",0,0,0,
Abraham Lincoln Birthplace NHP,1987,"292,825",0,0,0,
Abraham Lincoln Birthplace NHP,1988,"288,324",0,0,0,
Abraham Lincoln Birthplace NHP,1989,"309,823",0,0,0,
Abraham Lincoln Birthplace NHP,1990,"307,669",0,0,0,
Abraham Lincoln Birthplace NHP,1991,"316,945",0,0,0,
Abraham Lincoln Birthplace NHP,1992,"302,739",0,0,0,
Abraham Lincoln Birthplace NHP,1993,"293,710",0,0,0,
Abraham Lincoln Birthplace NHP,1994,"279,542",0,0,0,
Abraham Lincoln Birthplace NHP,1995,"268,509",0,0,0,
Abraham Lincoln Birthplace NHP,1996,"249,344",0,0,0,
Abraham Lincoln Birthplace NHP,1997,"262,889",0,0,0,
Abraham Lincoln Birthplace NHP,1998,"250,842",0,0,0,
Abraham Lincoln Birthplace NHP,1999,"251,204",0,0,0,
Abraham Lincoln Birthplace NHP,2000,"236,180",0,0,0,
Abraham Lincoln Birthplace NHP,2001,"229,675",0,0,0,
Abraham Lincoln Birthplace NHP,2002,"250,772",0,0,0,
Abraham Lincoln Birthplace NHP,2003,"211,650",0,0,0,
Abraham Lincoln Birthplace NHP,2004,"201,828",0,0,0,
Abraham Lincoln Birthplace NHP,2005,"190,809",0,0,0,
Abraham Lincoln Birthplace NHP,2006,"200,054",0,0,0,
Abraham Lincoln Birthplace NHP,2007,"202,950",0,0,0,
Abraham Lincoln Birthplace NHP,2008,"200,404",0,0,0,
Abraham Lincoln Birthplace NHP,2009,"221,111",0,0,0,
Abraham Lincoln Birthplace NHP,2010,"177,122",0,0,0,
Abraham Lincoln Birthplace NHP,2011,"163,568",0,0,0,
Abraham Lincoln Birthplace NHP,2012,"169,515",0,0,0,
Abraham Lincoln Birthplace NHP,2013,"163,928",0,0,0,
Abraham Lincoln Birthplace NHP,2014,"241,264",0,0,0,
Abraham Lincoln Birthplace NHP,2015,"148,605",0,0,0,
Abraham Lincoln Birthplace NHP,2016,"252,495",0,0,0,
,,,,,,
Acadia NP,1919,"64,000",,,,
Acadia NP,1920,"66,500",,,,
Acadia NP,1921,"69,836",,,,
Acadia NP,1922,"73,779",,,,
Acadia NP,1923,"64,200",,,,
Acadia NP,1924,"71,758",,,,
Acadia NP,1925,"73,673",,,,
Acadia NP,1926,"101,256",,,,
Acadia NP,1927,"123,699",,,,
Acadia NP,1928,"134,897",,,,
Acadia NP,1929,"149,554",,,,
Acadia NP,1930,"154,734",,,,
Acadia NP,1931,"162,238",,,,
Acadia NP,1932,"237,596",,,,
Acadia NP,1933,"262,712",,,,
Acadia NP,1934,"275,956",,,,
Acadia NP,1935,"316,114",,,,
Acadia NP,1936,"340,393",,,,
Acadia NP,1937,"383,036",,,,
Acadia NP,1938,"394,319",,,,
Acadia NP,1939,"396,468",,,,
Acadia NP,1940,"382,084",,,,
Acadia NP,1941,"409,961",,,,
Acadia NP,1942,"36,544",,,,
Acadia NP,1943,"8,246",,,,
Acadia NP,1944,"12,916",,,,
Acadia NP,1945,"20,200",,,,
Acadia NP,1946,"382,390",,,,
Acadia NP,1947,"434,069",,,,
Acadia NP,1948,"420,846",,,,
Acadia NP,1949,"438,584",,,,
Acadia NP,1950,"485,220",,,,
Acadia NP,1951,"518,556",,,,
Acadia NP,1952,"549,075",,,,
Acadia NP,1953,"556,195",,,,
Acadia NP,1954,"553,800",,,,
Acadia NP,1955,"655,000",,,,
Acadia NP,1956,"735,500",,,,
Acadia NP,1957,"858,900",,,,
Acadia NP,1958,"816,500",,,,
Acadia NP,1959,"755,900",,,,
Acadia NP,1960,"1,638,200",,,,
Acadia NP,1961,"1,574,600",,,,
Acadia NP,1962,"1,601,500",,,,
Acadia NP,1963,"1,864,800",,,,
Acadia NP,1964,"2,011,600",,,,
Acadia NP,1965,"1,733,600",,,,
Acadia NP,1966,"2,158,400",,,,
Acadia NP,1967,"2,102,000",,,,
Acadia NP,1968,"2,303,300",,,,
Acadia NP,1969,"2,489,800",,,,
Acadia NP,1970,"2,776,300",,,,
Acadia NP,1971,"2,101,100",,,,
Acadia NP,1972,"2,285,881",,,,
Acadia NP,1973,"2,394,000",,,,
Acadia NP,1974,"2,335,800",,,,
Acadia NP,1975,"2,380,500",,,,
Acadia NP,1976,"2,353,300",,,,
Acadia NP,1977,"2,734,600",,,,
Acadia NP,1978,"2,684,933",,,,
Acadia NP,1979,"2,787,366","139,708","74,279",0,
Acadia NP,1980,"2,779,666","155,704","76,124",0,
Acadia NP,1981,"2,997,972","166,557","76,309",0,
Acadia NP,1982,"3,572,114","172,759","84,841",0,
Acadia NP,1983,"4,124,639","164,429","72,335",0,
Acadia NP,1984,"3,734,763","158,697","32,192",0,
Acadia NP,1985,"3,745,570","152,585","54,941",0,
Acadia NP,1986,"3,929,054","156,438","49,311",0,
Acadia NP,1987,"4,288,154","158,649","52,952",0,
Acadia NP,1988,"4,502,283","175,545","45,661",0,
Acadia NP,1989,"5,440,952","173,909","46,089",0,
Acadia NP,1990,"2,339,591","126,135","29,724",0,
Acadia NP,1991,"2,475,857","140,760","30,222",0,
Acadia NP,1992,"2,382,113","128,478","31,437",0,
Acadia NP,1993,"2,656,034","130,287","32,094",0,
Acadia NP,1994,"2,710,749","129,483","29,025",0,
Acadia NP,1995,"2,845,378","129,351","29,616",0,
Acadia NP,1996,"2,704,831","108,939","35,526",0,
Acadia NP,1997,"2,760,306","115,935","28,512",0,
Acadia NP,1998,"2,594,497","135,507","23,544",0,
Acadia NP,1999,"2,602,227","125,046","23,682",0,
Acadia NP,2000,"2,469,238","114,033","22,692",0,
Acadia NP,2001,"2,516,551","118,545","24,747",0,
Acadia NP,2002,"2,558,572","122,340","22,545",0,
Acadia NP,2003,"2,431,062","117,369","21,876",0,
Acadia NP,2004,"2,207,847","101,577","19,878",0,
Acadia NP,2005,"2,051,484","85,815","19,302","1,157",
Acadia NP,2006,"2,083,588","96,252","22,299","1,306",
Acadia NP,2007,"2,202,228","98,586","23,280","1,091",
Acadia NP,2008,"2,075,857","101,028","21,198","1,229",
Acadia NP,2009,"2,227,698","105,042","22,755","1,037",
Acadia NP,2010,"2,504,208","121,287","28,821",974,
Acadia NP,2011,"2,374,645","117,879","27,519","1,157",
Acadia NP,2012,"2,431,052","124,482","26,760","1,316",
Acadia NP,2013,"2,254,922","114,753","29,025","1,166",
Acadia NP,2014,"2,563,129","126,474","33,369","1,230",
Acadia NP,2015,"2,811,184","135,000","32,094","1,233",
Acadia NP,2016,"3,303,393","152,811","46,629","1,324",
,,,,,,
Adams NHP,1947,873,,,,
Adams NHP,1948,"6,116",,,,
Adams NHP,1949,"9,003",,,,
Adams NHP,1950,"10,594",,,,
Adams NHP,1951,"12,234",,,,
Adams NHP,1952,"11,348",,,,
Adams NHP,1953,"12,326",,,,
Adams NHP,1954,"14,600",,,,
Adams NHP,1955,"13,900",,,,
Adams NHP,1956,"15,000",,,,
Adams NHP,1957,"14,100",,,,
Adams NHP,1958,"14,100",,,,
Adams NHP,1959,"12,700",,,,
Adams NHP,1960,"11,800",,,,
Adams NHP,1961,"11,600",,,,
Adams NHP,1962,"13,300",,,,
Adams NHP,1963,"12,800",,,,
Adams NHP,1964,"15,100",,,,
Adams NHP,1965,"16,900",,,,
Adams NHP,1966,"19,500",,,,
Adams NHP,1967,"21,600",,,,
Adams NHP,1968,"14,900",,,,
Adams NHP,1969,"11,800",,,,
Adams NHP,1970,"11,900",,,,
Adams NHP,1971,"14,500",,,,
Adams NHP,1972,"18,086",,,,
Adams NHP,1973,"16,100",,,,
Adams NHP,1974,"16,500",,,,
Adams NHP,1975,"26,400",,,,
Adams NHP,1976,"41,800",,,,
Adams NHP,1977,"21,900",,,,
Adams NHP,1978,"21,433",,,,
Adams NHP,1979,"34,322",0,0,0,
Adams NHP,1980,"24,974",0,0,0,
Adams NHP,1981,"27,055",0,0,0,
Adams NHP,1982,"25,440",0,0,0,
Adams NHP,1983,"26,162",0,0,0,
Adams NHP,1984,"23,398",0,0,0,
Adams NHP,1985,"24,555",0,0,0,
Adams NHP,1986,"24,693",0,0,0,
Adams NHP,1987,"25,617",0,0,0,
Adams NHP,1988,"21,617",0,0,0,
Adams NHP,1989,"22,595",0,0,0,
Adams NHP,1990,"20,315",0,0,0,
Adams NHP,1991,"26,958",0,0,0,
Adams NHP,1992,"27,400",0,0,0,
Adams NHP,1993,"43,877",0,0,0,
Adams NHP,1994,"41,179",0,0,0,
Adams NHP,1995,"47,312",0,0,0,
Adams NHP,1996,"38,230",0,0,0,
Adams NHP,1997,"56,643",0,0,0,
Adams NHP,1998,"63,569",0,0,0,
Adams NHP,1999,"84,574",0,0,0,
Adams NHP,2000,"87,347",0,0,0,
Adams NHP,2001,"167,500",0,0,0,
Adams NHP,2002,"173,944",0,0,0,
Adams NHP,2003,"215,659",0,0,0,
Adams NHP,2004,"239,504",0,0,0,
Adams NHP,2005,"220,467",0,0,0,
Adams NHP,2006,"225,318",0,0,0,
Adams NHP,2007,"224,880",0,0,0,
Adams NHP,2008,"241,536",0,0,0,
Adams NHP,2009,"253,656",0,0,0,
Adams NHP,2010,"73,339",0,0,0,
Adams NHP,2011,"219,975",0,0,0,
Adams NHP,2012,"336,031",0,0,0,
Adams NHP,2013,"285,501",0,0,0,
Adams NHP,2014,"178,468",0,0,0,
Adams NHP,2015,"183,632",0,0,0,
Adams NHP,2016,"199,301",0,0,0,
,,,,,,
African Burial Ground NM,2010,"117,113",0,0,0,
African Burial Ground NM,2011,"108,585",0,0,0,
African Burial Ground NM,2012,"77,624",0,0,0,
African Burial Ground NM,2013,"93,234",0,0,0,
African Burial Ground NM,2014,"54,861",0,0,0,
African Burial Ground NM,2015,"56,348",0,0,0,
African Burial Ground NM,2016,"46,526",0,0,0,
,,,,,,
Agate Fossil Beds NM,1968,"3,800",,,,
Agate Fossil Beds NM,1969,"4,100",,,,
Agate Fossil Beds NM,1970,"6,900",,,,
Agate Fossil Beds NM,1971,"9,000",,,,
Agate Fossil Beds NM,1972,"10,793",,,,
Agate Fossil Beds NM,1973,"8,100",,,,
Agate Fossil Beds NM,1974,"9,900",,,,
Agate Fossil Beds NM,1975,"11,000",,,,
Agate Fossil Beds NM,1976,"11,500",,,,
Agate Fossil Beds NM,1977,"11,100",,,,
Agate Fossil Beds NM,1978,"10,739",,,,
Agate Fossil Beds NM,1979,"8,115",0,0,0,
Agate Fossil Beds NM,1980,"8,330",0,0,0,
Agate Fossil Beds NM,1981,"9,459",0,0,0,
Agate Fossil Beds NM,1982,"9,018",0,0,0,
Agate Fossil Beds NM,1983,"10,097",0,0,0,
Agate Fossil Beds NM,1984,"10,317",0,0,0,
Agate Fossil Beds NM,1985,"10,366",0,0,0,
Agate Fossil Beds NM,1986,"10,187",0,0,0,
Agate Fossil Beds NM,1987,"11,439",0,0,0,
Agate Fossil Beds NM,1988,"11,156",0,0,0,
Agate Fossil Beds NM,1989,"11,459",0,0,0,
Agate Fossil Beds NM,1990,"14,482",0,0,0,
Agate Fossil Beds NM,1991,"13,891",0,0,0,
Agate Fossil Beds NM,1992,"18,785",0,0,0,
Agate Fossil Beds NM,1993,"19,467",0,0,0,
Agate Fossil Beds NM,1994,"18,970",0,0,0,
Agate Fossil Beds NM,1995,"18,719",0,0,0,
Agate Fossil Beds NM,1996,"16,567",0,0,0,
Agate Fossil Beds NM,1997,"20,596",0,0,0,
Agate Fossil Beds NM,1998,"17,594",0,0,0,
Agate Fossil Beds NM,1999,"18,117",0,0,0,
Agate Fossil Beds NM,2000,"17,933",0,0,0,
Agate Fossil Beds NM,2001,"17,399",0,0,0,
Agate Fossil Beds NM,2002,"17,129",0,0,0,
Agate Fossil Beds NM,2003,"16,233",0,0,0,
Agate Fossil Beds NM,2004,"15,235",0,0,0,
Agate Fossil Beds NM,2005,"14,209",0,0,0,
Agate Fossil Beds NM,2006,"13,521",0,0,0,
Agate Fossil Beds NM,2007,"12,997",0,0,0,
Agate Fossil Beds NM,2008,"12,425",0,0,0,
Agate Fossil Beds NM,2009,"12,694",0,0,0,
Agate Fossil Beds NM,2010,"12,509",0,0,0,
Agate Fossil Beds NM,2011,"11,617",0,0,0,
Agate Fossil Beds NM,2012,"11,824",0,0,0,
Agate Fossil Beds NM,2013,"10,504",0,0,0,
Agate Fossil Beds NM,2014,"12,440",0,0,0,
Agate Fossil Beds NM,2015,"13,264",0,0,0,
Agate Fossil Beds NM,2016,"15,555",0,0,0,
,,,,,,
Alibates Flint Quarries NM,1971,"1,400",,,,
Alibates Flint Quarries NM,1972,"2,769",,,,
Alibates Flint Quarries NM,1973,"1,700",,,,
Alibates Flint Quarries NM,1974,"1,300",,,,
Alibates Flint Quarries NM,1975,"2,500",,,,
Alibates Flint Quarries NM,1976,"2,600",,,,
Alibates Flint Quarries NM,1977,"2,200",,,,
Alibates Flint Quarries NM,1978,"2,455",,,,
Alibates Flint Quarries NM,1979,"1,922",0,0,0,
Alibates Flint Quarries NM,1980,"2,211",0,0,0,
Alibates Flint Quarries NM,1981,"2,384",0,0,0,
Alibates Flint Quarries NM,1982,"2,398",0,0,0,
Alibates Flint Quarries NM,1983,"1,919",0,0,0,
Alibates Flint Quarries NM,1984,"2,251",0,0,0,
Alibates Flint Quarries NM,1985,"2,200",0,0,0,
Alibates Flint Quarries NM,1986,"2,202",0,0,0,
Alibates Flint Quarries NM,1987,"2,494",0,0,0,
Alibates Flint Quarries NM,1988,"2,140",0,0,0,
Alibates Flint Quarries NM,1989,"3,842",0,0,0,
Alibates Flint Quarries NM,1990,"3,418",0,0,0,
Alibates Flint Quarries NM,1991,"3,812",0,0,0,
Alibates Flint Quarries NM,1992,"3,419",0,0,0,
Alibates Flint Quarries NM,1993,"3,155",0,0,0,
Alibates Flint Quarries NM,1994,"3,392",0,0,0,
Alibates Flint Quarries NM,1995,"2,769",0,0,0,
Alibates Flint Quarries NM,1996,"3,276",0,0,0,
Alibates Flint Quarries NM,1997,"3,363",0,0,0,
Alibates Flint Quarries NM,1998,"3,293",0,0,0,
Alibates Flint Quarries NM,1999,"3,047",0,0,0,
Alibates Flint Quarries NM,2000,"3,131",0,0,0,
Alibates Flint Quarries NM,2001,"2,456",0,0,0,
Alibates Flint Quarries NM,2002,"2,125",0,0,0,
Alibates Flint Quarries NM,2003,"1,811",0,0,0,
Alibates Flint Quarries NM,2004,"2,012",0,0,0,
Alibates Flint Quarries NM,2005,"2,919",0,0,0,
Alibates Flint Quarries NM,2006,"1,882",0,0,0,
Alibates Flint Quarries NM,2007,"4,028",0,0,0,
Alibates Flint Quarries NM,2008,"2,297",0,0,0,
Alibates Flint Quarries NM,2009,"2,918",0,0,0,
Alibates Flint Quarries NM,2010,"4,350",0,0,0,
Alibates Flint Quarries NM,2011,"3,214",0,0,0,
Alibates Flint Quarries NM,2012,"3,383",0,0,0,
Alibates Flint Quarries NM,2013,"1,555",0,0,0,
Alibates Flint Quarries NM,2014,"4,513",0,0,0,
Alibates Flint Quarries NM,2015,"9,492",0,0,0,
Alibates Flint Quarries NM,2016,"8,153",0,0,0,
,,,,,,
Allegheny Portage Railroad NHS,1968,"5,500",,,,
Allegheny Portage Railroad NHS,1969,"21,100",,,,
Allegheny Portage Railroad NHS,1970,"42,000",,,,
Allegheny Portage Railroad NHS,1971,"25,900",,,,
Allegheny Portage Railroad NHS,1972,"25,960",,,,
Allegheny Portage Railroad NHS,1973,"45,700",,,,
Allegheny Portage Railroad NHS,1974,"43,900",,,,
Allegheny Portage Railroad NHS,1975,"46,500",,,,
Allegheny Portage Railroad NHS,1976,"62,700",,,,
Allegheny Portage Railroad NHS,1977,"64,400",,,,
Allegheny Portage Railroad NHS,1978,"58,360",,,,
Allegheny Portage Railroad NHS,1979,"58,225",33,0,0,
Allegheny Portage Railroad NHS,1980,"73,995",0,0,0,
Allegheny Portage Railroad NHS,1981,"65,557",0,0,0,
Allegheny Portage Railroad NHS,1982,"60,069",0,0,0,
Allegheny Portage Railroad NHS,1983,"55,148",0,0,0,
Allegheny Portage Railroad NHS,1984,"59,635",0,0,0,
Allegheny Portage Railroad NHS,1985,"69,523",0,0,0,
Allegheny Portage Railroad NHS,1986,"68,990",0,0,0,
Allegheny Portage Railroad NHS,1987,"93,289",0,0,638,
Allegheny Portage Railroad NHS,1988,"123,622",0,0,0,
Allegheny Portage Railroad NHS,1989,"133,324",0,0,0,
Allegheny Portage Railroad NHS,1990,"131,735",0,0,0,
Allegheny Portage Railroad NHS,1991,"154,816",0,0,0,
Allegheny Portage Railroad NHS,1992,"183,473",0,0,0,
Allegheny Portage Railroad NHS,1993,"189,009",0,0,0,
Allegheny Portage Railroad NHS,1994,"160,394",0,0,0,
Allegheny Portage Railroad NHS,1995,"145,307",0,0,0,
Allegheny Portage Railroad NHS,1996,"139,446",0,0,0,
Allegheny Portage Railroad NHS,1997,"121,841",0,0,0,
Allegheny Portage Railroad NHS,1998,"111,100",0,0,0,
Allegheny Portage Railroad NHS,1999,"111,391",0,0,0,
Allegheny Portage Railroad NHS,2000,"133,396",0,0,0,
Allegheny Portage Railroad NHS,2001,"142,340",0,0,0,
Allegheny Portage Railroad NHS,2002,"146,484",0,0,0,
Allegheny Portage Railroad NHS,2003,"129,995",0,0,0,
Allegheny Portage Railroad NHS,2004,"126,441",0,0,0,
Allegheny Portage Railroad NHS,2005,"115,357",0,0,0,
Allegheny Portage Railroad NHS,2006,"121,009",0,0,0,
Allegheny Portage Railroad NHS,2007,"123,215",0,0,0,
Allegheny Portage Railroad NHS,2008,"113,991",0,0,0,
Allegheny Portage Railroad NHS,2009,"118,931",0,0,0,
Allegheny Portage Railroad NHS,2010,"107,363",0,0,0,
Allegheny Portage Railroad NHS,2011,"118,410",0,0,0,
Allegheny Portage Railroad NHS,2012,"138,864",0,0,0,
Allegheny Portage Railroad NHS,2013,"107,977",0,0,0,
Allegheny Portage Railroad NHS,2014,"172,883",0,0,0,
Allegheny Portage Railroad NHS,2015,"168,433",0,0,0,
Allegheny Portage Railroad NHS,2016,"189,371",0,0,0,
,,,,,,
Amistad NRA,1969,"448,000",,,,
Amistad NRA,1970,"678,800",,,,
Amistad NRA,1971,"677,700",,,,
Amistad NRA,1972,"960,058",,,,
Amistad NRA,1973,"960,900",,,,
Amistad NRA,1974,"931,900",,,,
Amistad NRA,1975,"1,035,000",,,,
Amistad NRA,1976,"1,070,400",,,,
Amistad NRA,1977,"979,200",,,,
Amistad NRA,1978,"1,235,118",,,,
Amistad NRA,1979,"1,261,846","23,968","50,588","17,757",
Amistad NRA,1980,"1,084,689","21,115","47,148","20,828",
Amistad NRA,1981,"976,414","22,873","51,843","24,989",
Amistad NRA,1982,"1,259,668","23,459","61,473","26,211",
Amistad NRA,1983,"1,221,445","21,180","71,732","26,509",
Amistad NRA,1984,"1,164,338","14,849","63,867","22,441",
Amistad NRA,1985,"1,139,366","19,077","59,049","17,152",
Amistad NRA,1986,"1,206,669","18,105","58,096","16,639",
Amistad NRA,1987,"1,219,967","20,959","72,136","14,446",
Amistad NRA,1988,"1,284,606","18,444","64,892","16,396",
Amistad NRA,1989,"1,321,168","17,379","67,127","18,654",
Amistad NRA,1990,"1,306,474","2,969","12,597","3,324",
Amistad NRA,1991,"1,215,691","3,981","11,586","3,541",
Amistad NRA,1992,"1,559,659","10,278","28,293","5,011",
Amistad NRA,1993,"1,505,084","10,951","29,260","5,200",
Amistad NRA,1994,"1,591,903","9,234","25,479","4,006",
Amistad NRA,1995,"1,422,321","6,497","23,702","2,793",
Amistad NRA,1996,"1,238,990","4,849","19,361","2,098",
Amistad NRA,1997,"1,084,433","6,146","20,187","3,392",
Amistad NRA,1998,"1,129,811","3,873","16,413","3,189",
Amistad NRA,1999,"1,164,166","6,535","14,702","2,969",
Amistad NRA,2000,"1,234,506","3,235","15,191","7,152",
Amistad NRA,2001,"1,097,650","1,788","16,007","4,947",
Amistad NRA,2002,"1,047,784","2,671","8,396","2,821",
Amistad NRA,2003,"1,071,199","3,346","6,791","2,714",
Amistad NRA,2004,"1,445,772","1,539","9,835","3,427",
Amistad NRA,2005,"1,399,852","2,559","13,263","2,581",
Amistad NRA,2006,"1,599,271","2,489","29,892","2,861",
Amistad NRA,2007,"1,734,200","1,008","24,696","2,626",
Amistad NRA,2008,"1,980,717","1,192","25,347","3,658",
Amistad NRA,2009,"2,573,966",908,"28,235","2,949",
Amistad NRA,2010,"1,574,322",557,"24,524","2,473",
Amistad NRA,2011,"1,436,759","6,603","21,042","2,113",
Amistad NRA,2012,"1,367,502",279,"7,042",0,
Amistad NRA,2013,"1,025,151",0,"6,221",0,
Amistad NRA,2014,"1,130,096",262,"2,628",0,
Amistad NRA,2015,"1,250,051",0,"5,278",0,
Amistad NRA,2016,"1,164,530",38,"8,265",0,
,,,,,,
Andersonville NHS,1972,"133,975",,,,
Andersonville NHS,1973,"168,200",,,,
Andersonville NHS,1974,"106,900",,,,
Andersonville NHS,1975,"93,300",,,,
Andersonville NHS,1976,"153,800",,,,
Andersonville NHS,1977,"229,000",,,,
Andersonville NHS,1978,"194,282",,,,
Andersonville NHS,1979,"151,123",0,0,0,
Andersonville NHS,1980,"126,700",0,0,0,
Andersonville NHS,1981,"113,697",0,0,0,
Andersonville NHS,1982,"104,053",0,0,0,
Andersonville NHS,1983,"110,921",0,0,0,
Andersonville NHS,1984,"101,029",0,0,0,
Andersonville NHS,1985,"118,440",0,0,0,
Andersonville NHS,1986,"129,798",0,0,0,
Andersonville NHS,1987,"130,114",0,0,0,
Andersonville NHS,1988,"129,912",0,0,0,
Andersonville NHS,1989,"136,068",0,0,0,
Andersonville NHS,1990,"131,406",0,0,0,
Andersonville NHS,1991,"151,408",0,0,0,
Andersonville NHS,1992,"143,025",0,0,0,
Andersonville NHS,1993,"136,567",0,0,0,
Andersonville NHS,1994,"162,279",0,0,0,
Andersonville NHS,1995,"156,581",0,0,0,
Andersonville NHS,1996,"197,394",0,0,0,
Andersonville NHS,1997,"196,340",0,0,0,
Andersonville NHS,1998,"225,653",0,0,0,
Andersonville NHS,1999,"182,539",0,0,0,
Andersonville NHS,2000,"167,373",0,0,0,
Andersonville NHS,2001,"160,974",0,0,0,
Andersonville NHS,2002,"190,004",0,0,0,
Andersonville NHS,2003,"150,661",0,0,0,
Andersonville NHS,2004,"165,929",0,0,0,
Andersonville NHS,2005,"132,466",0,0,0,
Andersonville NHS,2006,"132,153",0,0,0,
Andersonville NHS,2007,"153,686",0,0,0,
Andersonville NHS,2008,"159,592",0,0,0,
Andersonville NHS,2009,"136,267",0,0,0,
Andersonville NHS,2010,"121,535",0,0,0,
Andersonville NHS,2011,"108,812",0,0,0,
Andersonville NHS,2012,"122,883",0,0,0,
Andersonville NHS,2013,"98,771",0,0,0,
Andersonville NHS,2014,"127,189",0,0,0,
Andersonville NHS,2015,"136,686",0,0,0,
Andersonville NHS,2016,"134,216",0,0,0,
,,,,,,
Andrew Johnson NHS,1942,"5,149",,,,
Andrew Johnson NHS,1943,"8,138",,,,
Andrew Johnson NHS,1944,"14,655",,,,
Andrew Johnson NHS,1945,"16,738",,,,
Andrew Johnson NHS,1946,"25,650",,,,
Andrew Johnson NHS,1947,"22,830",,,,
Andrew Johnson NHS,1948,"21,864",,,,
Andrew Johnson NHS,1949,"23,664",,,,
Andrew Johnson NHS,1950,"25,988",,,,
Andrew Johnson NHS,1951,"31,106",,,,
Andrew Johnson NHS,1952,"30,587",,,,
Andrew Johnson NHS,1953,"36,449",,,,
Andrew Johnson NHS,1954,"32,800",,,,
Andrew Johnson NHS,1955,"34,200",,,,
Andrew Johnson NHS,1956,"35,900",,,,
Andrew Johnson NHS,1957,"34,800",,,,
Andrew Johnson NHS,1958,"37,300",,,,
Andrew Johnson NHS,1959,"37,700",,,,
Andrew Johnson NHS,1960,"41,900",,,,
Andrew Johnson NHS,1961,"47,800",,,,
Andrew Johnson NHS,1962,"48,900",,,,
Andrew Johnson NHS,1963,"48,100",,,,
Andrew Johnson NHS,1964,"50,600",,,,
Andrew Johnson NHS,1965,"47,600",,,,
Andrew Johnson NHS,1966,"47,500",,,,
Andrew Johnson NHS,1967,"49,000",,,,
Andrew Johnson NHS,1968,"46,500",,,,
Andrew Johnson NHS,1969,"45,900",,,,
Andrew Johnson NHS,1970,"47,600",,,,
Andrew Johnson NHS,1971,"46,900",,,,
Andrew Johnson NHS,1972,"63,887",,,,
Andrew Johnson NHS,1973,"55,200",,,,
Andrew Johnson NHS,1974,"48,000",,,,
Andrew Johnson NHS,1975,"48,900",,,,
Andrew Johnson NHS,1976,"47,200",,,,
